company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
2300,2300,الشركة السعودية لصناعة الورق,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898838
2340,2340,شركة ارتيكس للاستثمار الصناعي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898854
4140,4140,الشركة السعودية للصادرات الصناعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898871
1202,1202,شركة الشرق الأوسط لصناعة وإنتاج الورق,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898887
4145,4145,شركة العبيكان للزجاج,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898904
4014,4014,شركة دار المعدات الطبية والعلمية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898921
1322,1322,شركة المصانع الكبرى للتعدين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898937
4015,4015,شركة مصنع جمجوم للأدوية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898953
4016,4016,شركة الشرق الأوسط للصناعات الدوائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898970
4143,4143,شركة مجموعة التيسير تالكو الصناعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898986
1323,1323,الشركة المتحدة لصناعات الكرتون,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899002
1321,1321,شركة أنابيب الشرق المتكاملة للصناعة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899019
1304,1304,شركة اليمامة للصناعات الحديدية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899035
1303,1303,شركة الصناعات الكهربائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899051
1302,1302,شركة بوان,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899068
2370,2370,شركة الشرق الأوسط للكابلات المتخصصة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899084
1301,1301,شركة إتحاد مصانع الأسلاك,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899100
1320,1320,الشركة السعودية لأنابيب الصلب,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899116
2040,2040,شركة الخزف السعودي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899133
2090,2090,شركة الجبس الأهلية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899149
2110,2110,شركة الكابلات السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899170
2130,2130,الشركة السعودية للتنمية الصناعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899186
2160,2160,شركة أميانتيت العربية السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899203
2200,2200,الشركة العربية للأنابيب,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899219
2240,2240,شركة الزامل للإستثمار الصناعي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899235
2320,2320,شركة البابطين للطاقة والإتصالات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899252
2360,2360,الشركة السعودية لإنتاج الأنابيب الفخارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899268
4230,4230,شركة البحر الأحمر العالمية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899285
2140,2140,شركة أيان للإستثمار,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899302
4320,4320,شركة الأندلس العقارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899318
4020,4020,الشركة العقارية السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899334
4090,4090,شركة طيبة للإستثمار,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899350
4100,4100,شركة مكة للإنشاء والتعمير,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899367
4150,4150,شركة الرياض للتعمير,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899383
4220,4220,إعمار المدينة الإقتصادية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899399
4250,4250,شركة جبل عمر للتطوير,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899415
4300,4300,شركة دار الأركان للتطوير العقاري,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899431
4310,4310,مدينة المعرفة الإقتصادية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899448
4323,4323,شركة سمو العقارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899464
4321,4321,شركة المراكز العربية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899480
4324,4324,شركة بنان العقارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899497
4322,4322,شركة رتال للتطوير العمراني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899513
4325,4325,شركة أم القرى للتنمية والإعمار,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899529
4264,4264,شركة طيران ناس,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899546
